enzyme_code,enzyme_name
EC:1.3.1.84,Acrylyl-CoA reductase (NADPH)
EC:1.1.1.138,Mannitol 2-dehydrogenase (NADP(+))
EC:1.1.1.289,Sorbose reductase
EC:1.1.1.71,Alcohol dehydrogenase (NAD(P)(+))
EC:1.1.1.270,3-beta-hydroxysteroid 3-dehydrogenase
EC:3.6.1.22,NAD(+) diphosphatase
EC:4.1.1.18,Lysine decarboxylase
EC:4.1.1.19,Arginine decarboxylase
EC:3.5.4.9,Methenyltetrahydrofolate cyclohydrolase
EC:1.5.1.5,Methylenetetrahydrofolate dehydrogenase (NADP(+))
EC:6.1.1.16,Cysteine--tRNA ligase
EC:6.1.1.18,Glutamine--tRNA ligase
EC:4.2.1.99,2-methylisocitrate dehydratase
EC:4.2.1.3,Aconitate hydratase
EC:4.1.3.17,4-hydroxy-4-methyl-2-oxoglutarate aldolase
EC:2.7.9.2,"Pyruvate, water dikinase"
EC:2.7.1.39,Homoserine kinase
EC:3.1.3.3,Phosphoserine phosphatase
EC:1.8.99.2,Adenylyl-sulfate reductase
EC:1.8.4.8,Phosphoadenylyl-sulfate reductase (thioredoxin)
EC:3.2.1.21,Beta-glucosidase
EC:2.5.1.16,Spermidine synthase
EC:3.1.3.77,Acireductone synthase
EC:1.13.11.53,Acireductone dioxygenase (Ni(2+)-requiring)
EC:1.13.11.54,Acireductone dioxygenase (Fe(2+)-requiring)
EC:4.2.1.109,Methylthioribulose 1-phosphate dehydratase
EC:4.2.3.5,Chorismate synthase
EC:2.7.9.3,"Selenide, water dikinase"
EC:3.5.1.2,Glutaminase
EC:3.6.3.12,Potassium-transporting ATPase
EC:4.2.1.18,Methylglutaconyl-CoA hydratase
EC:4.2.1.60,Carbon-oxygen lyases
EC:5.3.3.14,Trans-2-decenoyl-[acyl-carrier-protein] isomerase
EC:2.1.2.11,3-methyl-2-oxobutanoate hydroxymethyltransferase
EC:6.2.1.5,Succinate--CoA ligase (ADP-forming)
EC:6.2.1.4,Succinate--CoA ligase (GDP-forming)
EC:2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase
EC:1.2.4.2,Oxoglutarate dehydrogenase (succinyl-transferring)
EC:1.3.99.1,Deleted entry
EC:1.3.5.1,Succinate dehydrogenase (quinone)
EC:2.3.3.1,Citrate (Si)-synthase
EC:2.4.2.15,Guanosine phosphorylase
EC:2.4.2.3,Uridine phosphorylase
EC:2.4.2.2,Pyrimidine-nucleoside phosphorylase
EC:2.4.2.4,Thymidine phosphorylase
EC:1.3.99.22,Acting on the CH-CH group of donors
EC:2.4.2.7,Adenine phosphoribosyltransferase
EC:6.5.1.2,DNA ligase (NAD(+))
EC:1.17.3,Acting on CH or CH(2) groups
EC:1.17.3.2,Xanthine oxidase
EC:3.5.2.17,Hydroxyisourate hydrolase
EC:3.5.3.4,Allantoicase
EC:4.3.2.3,Ureidoglycolate lyase
EC:3.5.3.19,"Acting on carbon-nitrogen bonds, other than peptide bonds"
EC:4.1.1.47,Tartronate-semialdehyde synthase
EC:1.1.3.15,(S)-2-hydroxy-acid oxidase
EC:3.6.3.8,Calcium-transporting ATPase
EC:1.3.1.32,Maleylacetate reductase
EC:6.4.1.1,Pyruvate carboxylase
EC:2.7.7.4,Sulfate adenylyltransferase
EC:2.7.1.25,Adenylyl-sulfate kinase
EC:2.4.1.17,Glucuronosyltransferase
EC:5.1.3.7,UDP-N-acetylglucosamine 4-epimerase
EC:5.1.3.2,UDP-glucose 4-epimerase
EC:2.7.11.5,[Isocitrate dehydrogenase (NADP(+))] kinase
EC:1.1.1.290,4-phosphoerythronate dehydrogenase
EC:2.3.2.2,Gamma-glutamyltransferase
EC:3.4.19.9,Gamma-glutamyl hydrolase
EC:3.4.19.13,Glutathione hydrolase
EC:3.5.1.1,Asparaginase
EC:3.5.1.38,Glutamin-(asparagin-)ase
EC:1.10.3,Acting on diphenols and related substances as donors
EC:3.11.1.1,Phosphonoacetaldehyde hydrolase
EC:2.6.1.37,2-aminoethylphosphonate--pyruvate transaminase
EC:3.1.13.5,Ribonuclease D
EC:2.8.1.2,3-mercaptopyruvate sulfurtransferase
EC:2.7.8.26,Adenosylcobinamide-GDP ribazoletransferase
EC:3.6.3.33,Vitamin B12-transporting ATPase
EC:2.4.2.21,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
EC:2.7.7.62,Adenosylcobinamide-phosphate guanylyltransferase
EC:2.7.1.156,Adenosylcobinamide kinase
EC:4.1.1.81,Threonine-phosphate decarboxylase
EC:6.3.5.11,"Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)"
EC:6.3.5.9,"Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)"
EC:2.5.1.17,"Cob(I)yrinic acid a,c-diamide adenosyltransferase"
EC:5.1.1.8,4-hydroxyproline epimerase
EC:4.2.1.77,Trans-L-3-hydroxyproline dehydratase
EC:1.5.1.21,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)
EC:1.5.1.1,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase
EC:1.15.1.1,Superoxide dismutase
EC:2.1.1.104,Caffeoyl-CoA O-methyltransferase
EC:3.5.3.18,Dimethylargininase
EC:1.13.11.33,Arachidonate 15-lipoxygenase
EC:1.13.11.12,Linoleate 13S-lipoxygenase
EC:2.7.7.80,Molybdopterin-synthase adenylyltransferase
EC:3.5.1.18,Succinyl-diaminopimelate desuccinylase
EC:2.1.1.51,Transferring one-carbon groups
EC:1.17.4,Acting on CH or CH(2) groups
EC:1.17.4.1,Ribonucleoside-diphosphate reductase
EC:2.4.2.36,NAD(+)--diphthamide ADP-ribosyltransferase
EC:1.1.1.21,Aldehyde reductase
EC:3.6.3.43,Peptide-transporting ATPase
EC:1.2.1.31,L-aminoadipate-semialdehyde dehydrogenase
EC:1.2.1.8,Betaine-aldehyde dehydrogenase
EC:1.13.12.16,Nitronate monooxygenase
EC:1.13.12,Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O(2)
EC:6.3.2.6,Phosphoribosylaminoimidazolesuccinocarboxamide synthase
EC:4.3.3.7,4-hydroxy-tetrahydrodipicolinate synthase
EC:6.2.1.32,Anthranilate--CoA ligase
EC:3.1.31,Acting on ester bonds
EC:3.1.22,Acting on ester bonds
EC:3.1.22.4,Crossover junction endodeoxyribonuclease
EC:6.1.1.12,Aspartate--tRNA ligase
EC:6.1.1.23,Aspartate--tRNA(Asn) ligase
EC:6.1.1.15,Proline--tRNA ligase
EC:3.6.1.7,Acylphosphatase
EC:6.3.4.13,Phosphoribosylamine--glycine ligase
EC:6.3.3.1,Phosphoribosylformylglycinamidine cyclo-ligase
EC:2.7.6.5,GTP diphosphokinase
EC:3.1.7.2,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase"
EC:4.4.1.9,L-3-cyanoalanine synthase
EC:1.1.1.28,D-lactate dehydrogenase
EC:2.8.4.4,[Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase
EC:2.7.2.4,Aspartate kinase
EC:6.1.1.7,Alanine--tRNA ligase
EC:4.1.2.26,Phenylserine aldolase
EC:3.5.1.96,Succinylglutamate desuccinylase
EC:3.5.3.23,N-succinylarginine dihydrolase
EC:1.2.1.71,Succinylglutamate-semialdehyde dehydrogenase
EC:2.3.1.109,Arginine N-succinyltransferase
EC:2.6.1.81,Succinylornithine transaminase
EC:2.6.1.17,Succinyldiaminopimelate transaminase
EC:1.14.16.1,Phenylalanine 4-monooxygenase
EC:1.14.16,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:4.2.1.96,4a-hydroxytetrahydrobiopterin dehydratase
EC:3.1.1.29,Aminoacyl-tRNA hydrolase
EC:1.13.11.27,4-hydroxyphenylpyruvate dioxygenase
EC:4.2.1.2,Fumarate hydratase
EC:1.10.99.2,Acting on diphenols and related substances as donors
EC:3.5.1.23,Ceramidase
EC:2.7.2.1,Acetate kinase
EC:2.3.1.8,Phosphate acetyltransferase
EC:3.5.1.28,N-acetylmuramoyl-L-alanine amidase
EC:4.1.3.32,"2,3-dimethylmalate lyase"
EC:4.1.3.30,Methylisocitrate lyase
EC:2.3.3.5,2-methylcitrate synthase
EC:4.2.1.79,2-methylcitrate dehydratase
EC:1.5.1.12,Acting on the CH-NH group of donors
EC:1.5.99.8,Acting on the CH-NH group of donors
EC:2.6.99.2,Pyridoxine 5'-phosphate synthase
EC:3.1.26.3,Ribonuclease III
EC:1.4.3.16,L-aspartate oxidase
EC:1.4.3.2,L-amino-acid oxidase
EC:3.1.2.4,3-hydroxyisobutyryl-CoA hydrolase
EC:2.3.1.28,Chloramphenicol O-acetyltransferase
EC:2.3.1.79,Maltose O-acetyltransferase
EC:3.5.1.10,Formyltetrahydrofolate deformylase
EC:3.1.11.1,Exodeoxyribonuclease I
EC:2.7.1.40,Pyruvate kinase
EC:2.4.2.19,Nicotinate-nucleotide diphosphorylase (carboxylating)
EC:6.3.4.21,Nicotinate phosphoribosyltransferase
EC:1.1.1.212,3-oxoacyl-[acyl-carrier-protein] reductase (NADH)
EC:1.1.1.169,2-dehydropantoate 2-reductase
EC:2.3.1.1,Amino-acid N-acetyltransferase
EC:2.3.1.35,Glutamate N-acetyltransferase
EC:3.5.1.108,UDP-3-O-acyl-N-acetylglucosamine deacetylase
EC:6.3.2.8,UDP-N-acetylmuramate--L-alanine ligase
EC:2.4.1.227,Undecaprenyldiphospho-muramoylpentapeptide beta-N-
EC:6.3.2.9,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
EC:2.7.8.13,Phospho-N-acetylmuramoyl-pentapeptide-transferase
EC:6.3.2.10,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EC:6.3.2.13,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
EC:1.10.2,Acting on diphenols and related substances as donors
EC:1.10.2.2,Quinol--cytochrome-c reductase
EC:6.1.1.2,Tryptophan--tRNA ligase
EC:1.1.1.23,Histidinol dehydrogenase
EC:2.4.2.17,ATP phosphoribosyltransferase
EC:2.5.1.7,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EC:5.3.1.13,Arabinose-5-phosphate isomerase
EC:3.1.3.45,3-deoxy-manno-octulosonate-8-phosphatase
EC:3.6.3.39,Lipopolysaccharide-transporting ATPase
EC:3.6.1.29,Bis(5'-adenosyl)-triphosphatase
EC:6.3.5.7,Glutaminyl-tRNA synthase (glutamine-hydrolyzing)
EC:3.4.23,Acting on peptide bonds (peptidases)
EC:2.7.1.24,Dephospho-CoA kinase
EC:1.4.3.19,Glycine oxidase
EC:1.17.1.2,Acting on CH or CH(2) groups
EC:6.1.1.5,Isoleucine--tRNA ligase
EC:2.7.2.11,Glutamate 5-kinase
EC:6.5.1.4,RNA 3'-terminal-phosphate cyclase (ATP)
EC:1.11.1.5,Cytochrome-c peroxidase
EC:1.4.1.4,Glutamate dehydrogenase (NADP(+))
EC:2.1.1.43,Histone-lysine N-methyltransferase
EC:2.1.1.174,23S rRNA (guanine(1835)-N(2))-methyltransferase
EC:2.1.1.172,16S rRNA (guanine(1207)-N(2))-methyltransferase
EC:1.14.13.141,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:4.1.99.3,Deoxyribodipyrimidine photo-lyase
EC:4.1.99,Carbon-carbon lyases
EC:3.1.1.77,Acyloxyacyl hydrolase
EC:5.1.1.3,Glutamate racemase
EC:2.1.1.297,Peptide chain release factor N(5)-glutamine methyltransferase
EC:1.2.1.70,Glutamyl-tRNA reductase
EC:2.7.1.148,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
EC:2.7.6.1,Ribose-phosphate diphosphokinase
EC:1.1.1.86,Ketol-acid reductoisomerase (NADP(+))
EC:2.2.1.6,Acetolactate synthase
EC:2.1.1.35,tRNA (uracil(54)-C(5))-methyltransferase
EC:2.7.6.3,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
EC:4.1.1.11,Aspartate 1-decarboxylase
EC:5.3.1.9,Glucose-6-phosphate isomerase
EC:2.7.7.8,Polyribonucleotide nucleotidyltransferase
EC:5.3.1.1,Triose-phosphate isomerase
EC:5.4.2.2,"Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)"
EC:5.4.2.8,Phosphomannomutase
EC:5.4.2.10,Phosphoglucosamine mutase
EC:6.3.5.5,Carbamoyl-phosphate synthase (glutamine-hydrolyzing)
EC:6.3.4.16,Carbamoyl-phosphate synthase (ammonia)
EC:1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase
EC:2.5.1.104,N(1)-aminopropylagmatine synthase
EC:2.5.1.79,Thermospermine synthase
EC:2.5.1.23,Sym-norspermidine synthase
EC:2.5.1.22,Spermine synthase
EC:2.9.1.1,L-seryl-tRNA(Sec) selenium transferase
EC:1.1.5.6,Acting on the CH-OH group of donors
EC:1.2.2.3,Acting on the aldehyde or oxo group of donors
EC:1.2.1.2,Acting on the aldehyde or oxo group of donors
EC:3.6.3.2,Magnesium-importing ATPase
EC:1.6.2.6,Leghemoglobin reductase
EC:3.5.4.10,IMP cyclohydrolase
EC:2.1.2.3,Phosphoribosylaminoimidazolecarboxamide formyltransferase
EC:3.5.1.5,Urease
EC:2.7.8.23,Carboxyvinyl-carboxyphosphonate phosphorylmutase
EC:1.14.19.3,Acyl-CoA 6-desaturase
EC:1.14.19,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:4.1.1.7,Benzoylformate decarboxylase
EC:1.14.13.82,Vanillate monooxygenase
EC:1.1.1.276,Serine 3-dehydrogenase (NADP(+))
EC:1.1.1.298,3-hydroxypropionate dehydrogenase (NADP(+))
EC:6.3.1.5,NAD(+) synthase
EC:6.3.5.1,NAD(+) synthase (glutamine-hydrolyzing)
EC:5.1.1.1,Alanine racemase
EC:6.3.4.4,Adenylosuccinate synthase
EC:2.5.1.75,tRNA dimethylallyltransferase
EC:4.1.1.65,Phosphatidylserine decarboxylase
EC:3.1.4.17,"3',5'-cyclic-nucleotide phosphodiesterase"
EC:3.6.1.13,ADP-ribose diphosphatase
EC:3.6.1.21,ADP-sugar diphosphatase
EC:4.1.1.75,5-guanidino-2-oxopentanoate decarboxylase
EC:2.7.10.2,Non-specific protein-tyrosine kinase
EC:2.4.1.58,Lipopolysaccharide glucosyltransferase I
EC:2.7.7.89,[Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
EC:2.7.7.42,[Glutamine synthetase] adenylyltransferase
EC:1.8.4.11,Peptide-methionine (S)-S-oxide reductase
EC:2.5.1.49,O-acetylhomoserine aminocarboxypropyltransferase
EC:1.1.1.300,NADP-retinol dehydrogenase
EC:4.1.1.37,Uroporphyrinogen decarboxylase
EC:1.4.1.13,Glutamate synthase (NADPH)
EC:1.4.1.14,Glutamate synthase (NADH)
EC:1.4.7.1,Glutamate synthase (ferredoxin)
EC:4.2.3.4,3-dehydroquinate synthase
EC:2.7.1.71,Shikimate kinase
EC:3.4.25,Acting on peptide bonds (peptidases)
EC:2.1.1.163,Demethylmenaquinone methyltransferase
EC:2.1.1.201,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
EC:3.5.4.19,Phosphoribosyl-AMP cyclohydrolase
EC:3.6.1.31,Phosphoribosyl-ATP diphosphatase
EC:3.1.1.96,D-aminoacyl-tRNA deacylase
EC:3.5.2.7,Imidazolonepropionase
EC:4.3.1.3,Histidine ammonia-lyase
EC:4.2.1.49,Urocanate hydratase
EC:3.1.3.11,Fructose-bisphosphatase
EC:6.3.1.2,Glutamine synthetase
EC:5.4.4.3,3-(hydroxyamino)phenol mutase
EC:5.4.2.1,Intramolecular transferases
EC:5.3.1.16,1-(5-phosphoribosyl)-5-
EC:4.2.1.19,Imidazoleglycerol-phosphate dehydratase
EC:1.1.1.371,Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:4.2.1.46,"dTDP-glucose 4,6-dehydratase"
EC:1.1.1.133,dTDP-4-dehydrorhamnose reductase
EC:2.7.7.24,Glucose-1-phosphate thymidylyltransferase
EC:5.1.3.13,"dTDP-4-dehydrorhamnose 3,5-epimerase"
EC:3.5.3.6,Arginine deiminase
EC:2.7.2.2,Carbamate kinase
EC:3.1.3.7,"3'(2'),5'-bisphosphate nucleotidase"
EC:3.2.2.1,Purine nucleosidase
EC:1.2.1.10,Acetaldehyde dehydrogenase (acetylating)
EC:4.1.1.49,Phosphoenolpyruvate carboxykinase (ATP)
EC:3.5.1.16,Acetylornithine deacetylase
EC:6.3.3.2,5-formyltetrahydrofolate cyclo-ligase
EC:4.2.1.24,Porphobilinogen synthase
EC:4.2.1.75,Uroporphyrinogen-III synthase
EC:2.5.1.61,Hydroxymethylbilane synthase
EC:4.3.2.1,Argininosuccinate lyase
EC:4.1.1.20,Diaminopimelate decarboxylase
EC:5.1.1.7,Diaminopimelate epimerase
EC:2.4.2.22,Xanthine phosphoribosyltransferase
EC:4.1.1.36,Phosphopantothenoylcysteine decarboxylase
EC:6.3.2.5,Phosphopantothenate--cysteine ligase (CTP)
EC:3.6.1.23,dUTP diphosphatase
EC:2.7.2.8,Acetylglutamate kinase
EC:2.4.2.10,Orotate phosphoribosyltransferase
EC:2.7.7.56,tRNA nucleotidyltransferase
EC:2.7.4.8,Guanylate kinase
EC:3.1.27,Acting on ester bonds
EC:1.18.1.1,Rubredoxin--NAD(+) reductase
EC:1.1.99.14,Glycolate dehydrogenase
EC:4.1.3.40,Chorismate lyase
EC:3.6.3.27,Phosphate-transporting ATPase
EC:1.1.1.108,Carnitine 3-dehydrogenase
EC:6.3.4.18,5-(carboxyamino)imidazole ribonucleotide synthase
EC:4.1.1.21,Phosphoribosylaminoimidazole carboxylase
EC:5.4.99.18,5-(carboxyamino)imidazole ribonucleotide mutase
EC:4.3.1.1,Aspartate ammonia-lyase
EC:2.3.1.36,D-amino-acid N-acetyltransferase
EC:3.1.2.1,Acetyl-CoA hydrolase
EC:4.2.1.47,"GDP-mannose 4,6-dehydratase"
EC:1.1.1.281,GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:2.7.1.35,Pyridoxal kinase
EC:2.1.1.79,Cyclopropane-fatty-acyl-phospholipid synthase
EC:2.6.1.16,Glutamine--fructose-6-phosphate transaminase (isomerizing)
EC:2.7.7.23,UDP-N-acetylglucosamine diphosphorylase
EC:2.3.1.157,Glucosamine-1-phosphate N-acetyltransferase
EC:3.1.21.3,Type I site-specific deoxyribonuclease
EC:3.1.26.5,Ribonuclease P
